datetime,전자화배전반의 관리소 인입 전력량,히터1 전력 사용량,히터1 가스 사용량
2023-01-04 13:00:00,454.04,142.19,52.95
2023-01-04 14:00:00,308.47,103.15,61.16
2023-01-04 15:00:00,462.59,87.38,95.35
2023-01-04 16:00:00,405.01,143.58,95.27
2023-01-04 17:00:00,400.91,95.71,82.34
2023-01-04 18:00:00,398.58,84.94,64.03
2023-01-04 19:00:00,497.04,140.3,51.54
2023-01-04 20:00:00,396.9,125.93,74.96
2023-01-04 21:00:00,375.29,108.93,88.58
2023-01-04 22:00:00,420.52,95.39,75.37
2023-01-04 23:00:00,333.18,129.86,71.62
2023-01-05 00:00:00,483.69,145.67,65.76
2023-01-05 01:00:00,443.77,131.63,77.56
2023-01-05 02:00:00,421.99,140.06,62.07
2023-01-05 03:00:00,463.29,122.69,88.13
2023-01-05 04:00:00,389.58,124.56,50.57
2023-01-05 05:00:00,436.81,124.51,72.38
2023-01-05 06:00:00,354.2,117.58,50.94
2023-01-05 07:00:00,328.11,93.23,91.73
2023-01-05 08:00:00,424.22,96.33,81.15
2023-01-05 09:00:00,312.43,137.73,78.89
2023-01-05 10:00:00,456.09,82.27,99.95
2023-01-05 11:00:00,455.11,100.73,72.95
2023-01-05 12:00:00,403.92,95.58,53.15
2023-01-05 13:00:00,311.44,133.32,73.08
2023-01-05 14:00:00,369.61,107.93,91.33
2023-01-05 15:00:00,371.04,93.89,75.38
2023-01-05 16:00:00,345.59,121.42,72.81
2023-01-05 17:00:00,371.36,121.17,82.76
2023-01-05 18:00:00,450.5,99.13,84.26
2023-01-05 19:00:00,336.76,115.93,80.66
2023-01-05 20:00:00,347.09,112.52,65.52
2023-01-05 21:00:00,315.59,135.29,77.53
2023-01-05 22:00:00,314.08,94.82,88.01
2023-01-05 23:00:00,499.21,85.32,82.69
2023-01-06 00:00:00,334.16,142.61,79.41
2023-01-06 01:00:00,400.02,80.71,66.09
2023-01-06 02:00:00,439.81,118.82,61.15
2023-01-06 03:00:00,416.77,118.32,67.86
2023-01-06 04:00:00,366.33,142.45,76.33
2023-01-06 05:00:00,451.98,131.72,97.68
2023-01-06 06:00:00,435.8,118.16,54.77
2023-01-06 07:00:00,355.55,107.15,98.01
2023-01-06 08:00:00,385.09,110.77,54.56
2023-01-06 09:00:00,369.96,100.85,55.96
2023-01-06 10:00:00,411.45,149.88,79.54
2023-01-06 11:00:00,426.0,146.09,85.99
2023-01-06 12:00:00,424.41,99.33,72.32
2023-01-06 13:00:00,467.72,82.72,84.33
2023-01-06 14:00:00,495.46,104.15,79.07
2023-01-06 15:00:00,486.25,140.11,57.21
2023-01-06 16:00:00,356.61,115.71,71.83
2023-01-06 17:00:00,468.96,98.72,93.54
2023-01-06 18:00:00,355.1,133.93,62.48
2023-01-06 19:00:00,471.03,108.73,85.24
2023-01-06 20:00:00,341.69,120.68,64.49
2023-01-06 21:00:00,351.61,124.17,79.75
2023-01-06 22:00:00,300.86,101.95,67.39
2023-01-06 23:00:00,468.25,102.76,90.11
2023-01-07 00:00:00,365.98,132.25,53.96
2023-01-07 01:00:00,368.39,94.67,52.42
2023-01-07 02:00:00,407.65,142.96,73.99
2023-01-07 03:00:00,355.76,149.46,92.11
2023-01-07 04:00:00,305.38,134.47,51.74
2023-01-07 05:00:00,476.4,137.81,58.98
2023-01-07 06:00:00,325.21,86.39,67.77
2023-01-07 07:00:00,323.94,116.68,63.41
2023-01-07 08:00:00,407.37,135.49,94.03
2023-01-07 09:00:00,303.35,135.24,88.13
2023-01-07 10:00:00,367.67,131.69,76.64
2023-01-07 11:00:00,390.55,92.68,64.05
2023-01-07 12:00:00,302.3,91.8,68.38
2023-01-07 13:00:00,424.04,99.87,56.78
2023-01-07 14:00:00,392.78,88.26,52.3
2023-01-07 15:00:00,399.75,139.92,53.16
2023-01-07 16:00:00,386.66,105.58,56.66
2023-01-07 17:00:00,413.93,105.88,84.14
2023-01-07 18:00:00,431.73,135.19,76.57
2023-01-07 19:00:00,489.64,144.13,61.17
2023-01-07 20:00:00,456.68,122.45,89.59
2023-01-07 21:00:00,410.64,88.11,89.58
2023-01-07 22:00:00,397.43,126.28,83.82
2023-01-07 23:00:00,396.86,101.64,88.08
2023-01-08 00:00:00,330.58,133.7,91.14
2023-01-08 01:00:00,455.35,146.84,50.24
2023-01-08 02:00:00,377.69,86.59,80.37
2023-01-08 03:00:00,401.79,132.85,79.59
2023-01-08 04:00:00,398.93,86.72,51.58
2023-01-08 05:00:00,461.09,142.82,82.74
2023-01-08 06:00:00,391.14,145.7,67.55
2023-01-08 07:00:00,472.84,126.5,95.24
2023-01-08 08:00:00,302.14,101.18,63.7
2023-01-08 09:00:00,424.0,86.94,80.39
2023-01-08 10:00:00,357.51,96.77,89.12
2023-01-08 11:00:00,333.32,112.93,82.87
2023-01-08 12:00:00,421.66,85.79,58.46
2023-01-08 13:00:00,352.04,136.82,91.53
2023-01-08 14:00:00,327.73,124.92,73.0
2023-01-08 15:00:00,338.0,140.14,71.04
2023-01-08 16:00:00,410.15,101.88,95.06
2023-01-08 17:00:00,321.33,121.7,58.23
2023-01-08 18:00:00,355.05,113.69,96.76
2023-01-08 19:00:00,319.4,103.97,55.73
2023-01-08 20:00:00,321.34,127.93,75.31
2023-01-08 21:00:00,482.41,84.0,93.67
2023-01-08 22:00:00,393.88,131.4,74.97
2023-01-08 23:00:00,353.58,92.96,81.49
2023-01-09 00:00:00,465.28,137.25,61.14
2023-01-09 01:00:00,484.58,121.04,63.55
2023-01-09 02:00:00,365.83,100.86,75.66
2023-01-09 03:00:00,493.71,147.47,86.04
2023-01-09 04:00:00,377.2,97.85,72.52
2023-01-09 05:00:00,428.27,126.9,70.93
2023-01-09 06:00:00,380.3,148.53,83.68
2023-01-09 07:00:00,469.11,95.04,71.52
2023-01-09 08:00:00,339.18,99.94,99.39
2023-01-09 09:00:00,408.7,131.38,98.04
2023-01-09 10:00:00,341.52,88.12,59.76
2023-01-09 11:00:00,477.8,97.73,90.23
2023-01-09 12:00:00,347.22,127.98,63.53
2023-01-09 13:00:00,445.51,147.38,72.8
2023-01-09 14:00:00,414.39,138.2,66.12
2023-01-09 15:00:00,485.37,149.96,81.62
2023-01-09 16:00:00,343.09,93.02,92.93
2023-01-09 17:00:00,432.3,81.05,55.49
2023-01-09 18:00:00,356.73,118.03,95.77
2023-01-09 19:00:00,331.15,104.63,59.44
2023-01-09 20:00:00,341.96,107.97,91.31
2023-01-09 21:00:00,344.91,118.24,61.47
2023-01-09 22:00:00,455.71,82.35,69.95
2023-01-09 23:00:00,449.97,86.36,86.37
2023-01-10 00:00:00,436.31,136.88,51.5
2023-01-10 01:00:00,486.64,100.51,99.76
2023-01-10 02:00:00,326.11,130.11,99.83
2023-01-10 03:00:00,324.62,81.67,93.18
2023-01-10 04:00:00,435.34,88.44,79.9
2023-01-10 05:00:00,428.63,119.75,57.0
2023-01-10 06:00:00,429.83,130.9,77.47
2023-01-10 07:00:00,475.72,90.67,63.65
2023-01-10 08:00:00,489.56,149.13,73.7
2023-01-10 09:00:00,332.1,122.24,99.32
2023-01-10 10:00:00,304.06,108.48,96.76
2023-01-10 11:00:00,339.77,144.93,71.67
2023-01-10 12:00:00,368.68,96.23,53.15
2023-01-10 13:00:00,336.74,127.28,71.23
2023-01-10 14:00:00,441.89,133.42,90.81
2023-01-10 15:00:00,499.43,85.9,57.48
2023-01-10 16:00:00,321.06,127.27,67.3
2023-01-10 17:00:00,323.23,129.73,90.87
2023-01-10 18:00:00,467.84,143.19,84.48
2023-01-10 19:00:00,361.18,132.0,67.13
2023-01-10 20:00:00,332.76,82.73,94.23
2023-01-10 21:00:00,467.73,111.38,65.03
2023-01-10 22:00:00,423.49,128.73,84.49
2023-01-10 23:00:00,466.04,113.12,90.47
2023-01-11 00:00:00,420.16,129.25,91.67
2023-01-11 01:00:00,310.74,125.51,69.48
2023-01-11 02:00:00,421.57,130.57,57.84
2023-01-11 03:00:00,449.59,98.54,72.63
2023-01-11 04:00:00,488.14,134.38,69.12
2023-01-11 05:00:00,364.77,117.52,67.68
2023-01-11 06:00:00,350.15,122.86,53.59
2023-01-11 07:00:00,368.37,86.16,83.09
2023-01-11 08:00:00,452.9,141.55,56.0
2023-01-11 09:00:00,411.7,117.23,50.25
2023-01-11 10:00:00,380.37,89.42,98.15
2023-01-11 11:00:00,386.17,138.7,89.0
2023-01-11 12:00:00,326.38,104.48,82.19
2023-01-11 13:00:00,335.31,148.9,76.64
2023-01-11 14:00:00,482.93,119.96,98.66
2023-01-11 15:00:00,493.02,106.99,87.24
2023-01-11 16:00:00,470.23,120.34,51.32
2023-01-11 17:00:00,379.57,122.46,51.13
2023-01-11 18:00:00,402.36,126.68,59.39
2023-01-11 19:00:00,376.0,130.17,91.96
2023-01-11 20:00:00,472.32,106.98,76.49
2023-01-11 21:00:00,342.93,83.91,85.02
2023-01-11 22:00:00,314.08,98.82,62.88
2023-01-11 23:00:00,419.93,84.1,71.09
2023-01-12 00:00:00,406.62,107.8,60.43
2023-01-12 01:00:00,460.71,91.69,56.41
2023-01-12 02:00:00,463.05,127.9,90.66
2023-01-12 03:00:00,367.45,88.83,84.09
2023-01-12 04:00:00,360.94,87.33,66.67
2023-01-12 05:00:00,392.97,140.22,58.91
2023-01-12 06:00:00,431.99,142.8,75.44
2023-01-12 07:00:00,355.69,100.01,93.37
2023-01-12 08:00:00,495.28,88.49,92.46
2023-01-12 09:00:00,351.35,136.86,70.21
2023-01-12 10:00:00,429.16,96.9,85.55
2023-01-12 11:00:00,457.65,146.67,99.48
2023-01-12 12:00:00,313.32,137.85,95.47
2023-01-12 13:00:00,414.67,84.37,78.57
2023-01-12 14:00:00,331.67,143.75,56.91
2023-01-12 15:00:00,487.5,81.82,94.93
2023-01-12 16:00:00,458.28,124.84,95.03
2023-01-12 17:00:00,371.07,94.71,89.76
2023-01-12 18:00:00,430.25,91.78,94.87
2023-01-12 19:00:00,323.5,110.28,96.24
2023-01-12 20:00:00,329.08,145.08,65.32
2023-01-12 21:00:00,429.75,89.39,51.5
2023-01-12 22:00:00,371.24,128.37,68.26
2023-01-12 23:00:00,419.21,122.26,88.91
2023-01-13 00:00:00,396.1,90.78,72.69
2023-01-13 01:00:00,331.7,110.48,74.5
2023-01-13 02:00:00,438.27,82.77,68.0
2023-01-13 03:00:00,402.38,145.56,99.08
2023-01-13 04:00:00,404.22,110.53,67.18
2023-01-13 05:00:00,448.51,137.02,82.76
2023-01-13 06:00:00,342.85,126.87,53.62
2023-01-13 07:00:00,498.32,87.5,75.22
2023-01-13 08:00:00,486.17,82.21,73.77
2023-01-13 09:00:00,376.14,145.65,61.66
2023-01-13 10:00:00,395.65,90.12,70.34
2023-01-13 11:00:00,485.77,98.32,54.56
2023-01-13 12:00:00,415.77,104.14,52.92
2023-01-13 13:00:00,399.32,139.46,89.8
2023-01-13 14:00:00,475.25,144.13,54.95
2023-01-13 15:00:00,461.83,98.51,79.01
2023-01-13 16:00:00,491.12,81.96,71.74
2023-01-13 17:00:00,399.42,96.71,94.67
2023-01-13 18:00:00,363.37,93.21,67.36
2023-01-13 19:00:00,430.06,132.22,95.06
2023-01-13 20:00:00,403.86,136.56,74.66
2023-01-13 21:00:00,486.72,123.28,57.9
2023-01-13 22:00:00,483.44,120.09,90.37
2023-01-13 23:00:00,402.58,99.6,53.46
2023-01-14 00:00:00,305.83,134.08,97.48
2023-01-14 01:00:00,376.58,133.49,92.87
2023-01-14 02:00:00,403.21,130.18,69.9
2023-01-14 03:00:00,326.05,91.05,57.9
2023-01-14 04:00:00,471.22,122.0,91.99
2023-01-14 05:00:00,425.9,116.09,89.43
2023-01-14 06:00:00,452.35,103.34,88.01
2023-01-14 07:00:00,409.39,85.21,93.02
2023-01-14 08:00:00,346.05,91.88,95.73
2023-01-14 09:00:00,448.94,100.63,93.64
2023-01-14 10:00:00,413.24,108.57,76.47
2023-01-14 11:00:00,408.23,129.77,96.06
2023-01-14 12:00:00,487.26,83.26,54.79
2023-01-14 13:00:00,326.9,117.08,95.64
2023-01-14 14:00:00,488.97,99.77,60.61
2023-01-14 15:00:00,485.36,146.1,62.67
2023-01-14 16:00:00,487.93,82.41,52.79
2023-01-14 17:00:00,408.14,94.65,85.56
2023-01-14 18:00:00,383.07,108.01,56.5
2023-01-14 19:00:00,479.98,80.18,76.34
2023-01-14 20:00:00,394.87,136.32,97.92
2023-01-14 21:00:00,368.02,118.88,64.59
2023-01-14 22:00:00,428.76,119.37,78.63
2023-01-14 23:00:00,407.08,101.14,70.96
2023-01-15 00:00:00,356.53,96.55,67.37
2023-01-15 01:00:00,490.87,115.36,53.96
2023-01-15 02:00:00,455.27,104.52,94.54
2023-01-15 03:00:00,396.22,112.87,90.62
2023-01-15 04:00:00,336.61,144.45,57.5
2023-01-15 05:00:00,482.04,81.46,73.3
2023-01-15 06:00:00,457.66,118.94,51.58
2023-01-15 07:00:00,464.85,103.1,91.86
2023-01-15 08:00:00,392.51,99.38,59.35
2023-01-15 09:00:00,454.82,143.92,59.06
2023-01-15 10:00:00,404.16,97.55,76.77
2023-01-15 11:00:00,436.43,118.77,67.41
2023-01-15 12:00:00,494.58,131.56,62.86
2023-01-15 13:00:00,406.38,128.39,70.47
2023-01-15 14:00:00,401.24,81.26,70.7
2023-01-15 15:00:00,377.46,149.92,85.89
2023-01-15 16:00:00,386.82,110.61,95.84
2023-01-15 17:00:00,309.08,90.43,96.11
2023-01-15 18:00:00,339.34,82.48,83.55
2023-01-15 19:00:00,448.01,132.21,91.6
2023-01-15 20:00:00,309.34,97.6,50.22
2023-01-15 21:00:00,377.07,129.37,95.39
2023-01-15 22:00:00,348.9,146.7,53.19
2023-01-15 23:00:00,471.1,149.13,71.69
2023-01-16 00:00:00,411.83,81.48,67.21
2023-01-16 01:00:00,330.64,128.39,67.29
2023-01-16 02:00:00,330.24,81.46,61.57
2023-01-16 03:00:00,415.46,143.48,66.15
2023-01-16 04:00:00,461.14,118.93,78.84
2023-01-16 05:00:00,303.13,89.29,96.32
2023-01-16 06:00:00,489.17,97.63,95.97
2023-01-16 07:00:00,313.82,120.44,72.38
2023-01-16 08:00:00,465.18,139.92,61.08
2023-01-16 09:00:00,432.74,99.55,95.94
2023-01-16 10:00:00,318.21,83.4,68.06
2023-01-16 11:00:00,375.17,122.44,97.15
2023-01-16 12:00:00,424.15,137.06,98.19
2023-01-16 13:00:00,363.68,86.37,50.5
2023-01-16 14:00:00,430.57,99.84,59.02
2023-01-16 15:00:00,498.62,123.38,88.59
2023-01-16 16:00:00,377.32,134.44,73.46
2023-01-16 17:00:00,434.52,97.59,57.95
2023-01-16 18:00:00,447.71,136.75,83.09
2023-01-16 19:00:00,414.76,93.07,67.59
2023-01-16 20:00:00,369.22,142.42,59.44
2023-01-16 21:00:00,336.04,137.32,64.04
2023-01-16 22:00:00,460.68,132.71,80.15
2023-01-16 23:00:00,340.99,136.84,72.93
2023-01-17 00:00:00,475.47,84.8,70.23
2023-01-17 01:00:00,441.83,146.84,98.17
2023-01-17 02:00:00,496.19,121.71,98.13
2023-01-17 03:00:00,454.87,124.06,72.73
2023-01-17 04:00:00,412.02,100.3,67.98
2023-01-17 05:00:00,431.57,144.67,74.78
2023-01-17 06:00:00,331.59,120.32,92.77
2023-01-17 07:00:00,366.14,139.99,78.82
2023-01-17 08:00:00,383.1,125.48,67.33
2023-01-17 09:00:00,310.23,100.62,73.79
2023-01-17 10:00:00,310.01,101.11,79.09
2023-01-17 11:00:00,444.65,137.51,66.28
2023-01-17 12:00:00,491.82,137.68,78.71
2023-01-17 13:00:00,326.02,85.71,78.39
2023-01-17 14:00:00,475.13,83.08,86.64
2023-01-17 15:00:00,477.0,129.3,85.29
2023-01-17 16:00:00,483.14,122.94,64.08
2023-01-17 17:00:00,470.42,85.34,84.45
2023-01-17 18:00:00,492.6,92.28,95.12
2023-01-17 19:00:00,365.58,83.51,76.25
2023-01-17 20:00:00,367.58,149.66,84.22
2023-01-17 21:00:00,358.24,143.11,53.07
2023-01-17 22:00:00,302.0,123.92,64.68
2023-01-17 23:00:00,469.04,127.97,51.04
2023-01-18 00:00:00,443.14,134.08,91.58
2023-01-18 01:00:00,378.51,80.99,50.23
2023-01-18 02:00:00,398.41,109.11,52.22
2023-01-18 03:00:00,314.4,126.58,82.71
2023-01-18 04:00:00,496.61,133.73,73.3
2023-01-18 05:00:00,392.59,116.25,72.48
2023-01-18 06:00:00,489.08,102.42,86.6
2023-01-18 07:00:00,394.26,137.3,93.87
2023-01-18 08:00:00,406.56,114.62,96.72
2023-01-18 09:00:00,418.7,123.71,94.85
2023-01-18 10:00:00,487.88,121.52,91.02
2023-01-18 11:00:00,436.02,102.66,99.59
2023-01-18 12:00:00,350.84,112.83,91.75
2023-01-18 13:00:00,435.78,109.71,52.74
2023-01-18 14:00:00,456.57,113.47,88.23
2023-01-18 15:00:00,404.72,126.88,72.82
2023-01-18 16:00:00,391.7,144.66,87.23
2023-01-18 17:00:00,463.25,147.44,73.85
2023-01-18 18:00:00,451.1,104.87,58.41
2023-01-18 19:00:00,479.85,130.92,90.02
2023-01-18 20:00:00,369.0,135.51,84.87
2023-01-18 21:00:00,370.95,91.74,79.95
2023-01-18 22:00:00,427.34,98.72,77.02
2023-01-18 23:00:00,412.4,144.16,85.12
2023-01-19 00:00:00,352.13,99.51,93.78
2023-01-19 01:00:00,340.22,80.95,73.13
2023-01-19 02:00:00,493.41,138.27,90.85
2023-01-19 03:00:00,498.18,125.75,81.27
2023-01-19 04:00:00,442.39,145.81,73.2
2023-01-19 05:00:00,316.04,101.99,86.83
2023-01-19 06:00:00,321.32,117.07,71.37
2023-01-19 07:00:00,367.57,118.66,76.41
2023-01-19 08:00:00,408.74,110.16,59.89
2023-01-19 09:00:00,405.89,138.56,78.27
2023-01-19 10:00:00,471.86,134.39,78.0
2023-01-19 11:00:00,372.64,83.38,52.2
2023-01-19 12:00:00,474.98,80.56,65.52
2023-01-19 13:00:00,357.35,142.18,98.37
2023-01-19 14:00:00,499.61,90.52,90.55
2023-01-19 15:00:00,329.67,143.2,57.34
2023-01-19 16:00:00,305.28,121.06,99.85
2023-01-19 17:00:00,346.74,118.52,80.76
2023-01-19 18:00:00,444.58,90.04,80.0
2023-01-19 19:00:00,355.28,131.63,87.94
2023-01-19 20:00:00,373.09,143.94,92.78
2023-01-19 21:00:00,388.34,119.19,56.82
2023-01-19 22:00:00,306.31,116.98,81.14
2023-01-19 23:00:00,443.24,119.73,72.18
2023-01-20 00:00:00,337.28,86.55,83.81
2023-01-20 01:00:00,373.43,126.39,92.29
2023-01-20 02:00:00,371.07,109.76,67.07
2023-01-20 03:00:00,434.34,87.7,51.94
2023-01-20 04:00:00,347.78,111.47,89.67
2023-01-20 05:00:00,377.34,130.08,78.49
2023-01-20 06:00:00,380.36,138.59,73.4
2023-01-20 07:00:00,340.61,85.72,96.45
2023-01-20 08:00:00,317.61,138.82,64.94
2023-01-20 09:00:00,393.86,140.75,94.22
2023-01-20 10:00:00,371.2,108.59,72.11
2023-01-20 11:00:00,314.25,123.68,70.17
2023-01-20 12:00:00,480.19,124.06,56.12
2023-01-20 13:00:00,437.7,115.87,90.57
2023-01-20 14:00:00,465.85,141.0,83.0
2023-01-20 15:00:00,453.67,129.7,88.96
2023-01-20 16:00:00,419.47,130.56,59.13
2023-01-20 17:00:00,429.88,128.25,73.33
2023-01-20 18:00:00,328.92,131.3,89.87
2023-01-20 19:00:00,398.27,105.14,75.15
2023-01-20 20:00:00,413.78,149.61,79.08
2023-01-20 21:00:00,433.62,111.61,87.72
2023-01-20 22:00:00,438.47,98.27,71.96
2023-01-20 23:00:00,454.76,108.09,50.05
2023-01-21 00:00:00,343.99,85.94,62.71
2023-01-21 01:00:00,456.98,99.9,84.83
2023-01-21 02:00:00,325.06,119.07,51.41
2023-01-21 03:00:00,355.66,106.62,81.29
2023-01-21 04:00:00,369.51,140.63,87.39
2023-01-21 05:00:00,363.4,87.36,59.44
2023-01-21 06:00:00,490.02,100.1,91.13
2023-01-21 07:00:00,350.11,105.55,80.66
2023-01-21 08:00:00,499.66,118.05,69.06
2023-01-21 09:00:00,364.19,125.69,50.78
2023-01-21 10:00:00,406.94,112.8,75.39
2023-01-21 11:00:00,334.45,125.4,68.2
2023-01-21 12:00:00,310.58,92.06,64.78
2023-01-21 13:00:00,488.6,96.87,53.1
2023-01-21 14:00:00,444.78,145.93,62.26
2023-01-21 15:00:00,439.97,87.82,85.6
2023-01-21 16:00:00,492.25,91.08,71.72
2023-01-21 17:00:00,453.15,82.86,53.16
2023-01-21 18:00:00,474.48,99.57,66.88
2023-01-21 19:00:00,428.15,100.68,61.74
2023-01-21 20:00:00,348.37,84.97,90.82
2023-01-21 21:00:00,466.49,125.65,90.67
2023-01-21 22:00:00,332.08,105.1,92.33
2023-01-21 23:00:00,416.32,116.09,98.77
2023-01-22 00:00:00,437.52,139.36,93.99
2023-01-22 01:00:00,472.75,95.72,96.66
2023-01-22 02:00:00,413.83,84.79,82.19
2023-01-22 03:00:00,458.2,136.73,68.36
2023-01-22 04:00:00,406.28,125.16,71.17
2023-01-22 05:00:00,366.63,107.92,94.01
2023-01-22 06:00:00,462.58,138.07,83.84
2023-01-22 07:00:00,333.9,111.06,90.86
2023-01-22 08:00:00,425.61,149.1,96.45
2023-01-22 09:00:00,329.6,86.82,78.71
2023-01-22 10:00:00,426.7,126.22,77.46
2023-01-22 11:00:00,453.45,147.67,64.63
2023-01-22 12:00:00,315.13,89.77,62.26
2023-01-22 13:00:00,328.12,142.24,64.95
2023-01-22 14:00:00,340.32,149.73,58.77
2023-01-22 15:00:00,402.57,142.56,55.08
2023-01-22 16:00:00,308.37,148.38,92.31
2023-01-22 17:00:00,418.36,111.38,80.53
2023-01-22 18:00:00,305.24,101.65,65.92
2023-01-22 19:00:00,396.37,147.01,97.63
2023-01-22 20:00:00,399.36,90.06,50.21
2023-01-22 21:00:00,397.51,83.9,52.59
2023-01-22 22:00:00,361.94,109.72,98.09
2023-01-22 23:00:00,461.2,129.64,81.56
2023-01-23 00:00:00,370.2,120.76,77.39
2023-01-23 01:00:00,428.03,120.84,69.91
2023-01-23 02:00:00,491.29,97.18,55.41
2023-01-23 03:00:00,338.21,104.61,96.58
2023-01-23 04:00:00,428.73,88.73,99.22
2023-01-23 05:00:00,404.82,148.17,76.02
2023-01-23 06:00:00,370.65,139.09,69.85
2023-01-23 07:00:00,403.66,109.36,52.27
2023-01-23 08:00:00,409.55,130.26,87.81
2023-01-23 09:00:00,417.08,119.78,74.21
2023-01-23 10:00:00,333.63,98.0,97.18
2023-01-23 11:00:00,469.84,85.39,86.62
2023-01-23 12:00:00,402.97,144.17,61.59
2023-01-23 13:00:00,439.29,145.49,70.26
2023-01-23 14:00:00,486.95,144.38,73.27
2023-01-23 15:00:00,425.5,106.08,95.16
2023-01-23 16:00:00,390.75,129.82,55.59
2023-01-23 17:00:00,370.46,83.44,67.45
2023-01-23 18:00:00,380.29,119.3,58.22
2023-01-23 19:00:00,340.13,117.81,82.51
2023-01-23 20:00:00,394.18,125.42,92.2
2023-01-23 21:00:00,364.06,124.51,85.96
2023-01-23 22:00:00,302.2,110.19,74.67
2023-01-23 23:00:00,348.55,131.56,60.42
2023-01-24 00:00:00,323.48,90.77,93.73
2023-01-24 01:00:00,394.25,86.57,62.22
2023-01-24 02:00:00,335.47,84.74,75.08
2023-01-24 03:00:00,461.89,80.69,53.62
